Time.time,PlayerName,accelerometerRawX,accelerometerRawY,playerPosX,playerPosY,playerVelocity,puckPosX,puckPosY,puckVelocity,scoreBlue,scoreRed
0,PlayerRed,0,0,0,3,(0.0, 0.0),0,0,0,0,0
0.02,PlayerRed,0,0,0,3,(0.0, 0.0),0,0,0,0,0
0.04,PlayerRed,0,0,0,3,(0.0, 0.0),0,0,0,0,0
0.06,PlayerRed,0,0,0,3,(0.0, 0.0),0,0,0,0,0
0.08,PlayerRed,0,0,0,3,(0.0, 0.0),0,0,0,0,0
0.09999999,PlayerRed,0,0,0,3,(0.0, 0.0),0,0,0,0,0
0.12,PlayerRed,0,0,0,3,(0.0, 0.0),0,0,0,0,0
0.14,PlayerRed,0,0,0,3,(0.0, 0.0),0,0,0,0,0
0.16,PlayerRed,0,0,0,3,(0.0, 0.0),0,0,0,0,0
0.18,PlayerRed,0,0,0,3,(0.0, 0.0),0,0,0,0,0
0.2,PlayerRed,0,0,0,3,(0.0, 0.0),0,0,0,0,0
0.22,PlayerRed,0,0,0,3,(0.0, 0.0),0,0,0,0,0
0.24,PlayerRed,0,0,0,3,(0.0, 0.0),0,0,0,0,0
0.26,PlayerRed,0,0,0,3,(0.0, 0.0),0,0,0,0,0
0.28,PlayerRed,0,0,0,3,(0.0, 0.0),0,0,0,0,0
0.3,PlayerRed,0,0,0,3,(0.0, 0.0),0,0,0,0,0
0.32,PlayerRed,0,0,0,3,(0.0, 0.0),0,0,0,0,0
0.34,PlayerRed,0,0,0,3,(0.0, 0.0),0,0,0,0,0
0.36,PlayerRed,0,0,0,3,(0.0, 0.0),0,0,0,0,0
0.38,PlayerRed,0,0,0,3,(0.0, 0.0),0,0,0,0,0
0.4,PlayerRed,0,0,0,3,(0.0, 0.0),0,0,0,0,0
0.42,PlayerRed,0,0,0,3,(0.0, 0.0),0,0,0,0,0
0.44,PlayerRed,0,0,0,3,(0.0, 0.0),0,0,0,0,0
0.46,PlayerRed,0,0,0,3,(0.0, 0.0),0,0,0,0,0
0.48,PlayerRed,0,0,0,3,(0.0, 0.0),0,0,0,0,0
0.5,PlayerRed,0,0,0,3,(0.0, 0.0),0,0,0,0,0
0.52,PlayerRed,0,0,0,3,(0.0, 0.0),0,0,0,0,0
0.54,PlayerRed,0,0,0,3,(0.0, 0.0),0,0,0,0,0
0.56,PlayerRed,0,0,0,3,(0.0, 0.0),0,0,0,0,0
0.58,PlayerRed,0,0,0,3,(0.0, 0.0),0,0,0,0,0
0.6,PlayerRed,0,0,0,3,(0.0, 0.0),0,0,0,0,0
0.62,PlayerRed,0,0,0,3,(0.0, 0.0),0,0,0,0,0
0.64,PlayerRed,0,0,0,3,(0.0, 0.0),0,0,0,0,0
0.66,PlayerRed,0,0,0,3,(0.0, 0.0),0,0,0,0,0
0.68,PlayerRed,0,0,0,3,(0.0, 0.0),0,0,0,0,0
0.7,PlayerRed,0,0,0,3,(0.0, 0.0),0,0,0,0,0
